doplywy dekadowe do zb. Goczalkowice 1901-1990
1901
    29.291    23.360    27.230    35.011    35.850    33.640    34.955    38.640
    41.220    31.220    45.730    25.720    27.473    24.560    12.860    13.675
    38.040    11.524    15.275     4.202     1.808     0.717     0.691     0.577
     0.575     1.059     0.969     1.640
1920
     6.751     7.388    11.400     5.620     1.275     1.826     8.009    22.540
    11.737     2.132     2.047     2.279    10.680     7.363     6.857     2.671
     1.840     1.221     2.075     2.842     5.875     2.166     1.887     3.850
     1.924     2.016     1.754     3.630     1.192    12.761    15.895     3.892
     1.566     1.144     0.906     0.677
1921
     0.776     0.964     0.913     0.674     0.670     0.901     2.029     2.870
     3.878     5.020     2.196     2.188     7.390     6.768     6.643     4.109
     7.638     8.541    10.048    15.540     6.325     4.460     3.654     3.900
     6.557     3.858     2.537     2.124     1.585     1.816     2.174     2.764
     2.182     2.385     2.335     2.886
1922
     3.117     3.032     2.967     2.615     3.683     5.319     7.469     7.012
     2.667     3.280     3.568    10.708    24.000    13.439    12.291     9.044
    12.100     9.218     7.651     6.632     3.777     3.444     3.496     4.195
     3.725     6.850    13.849     3.580     2.939     3.522     2.839     4.377
     7.510    28.589    22.900    10.818
1923
     8.242     6.320     6.405    10.000     9.612    16.864     9.370     4.796
     9.096    21.328     5.040     2.956     4.620     4.207     7.295     5.258
     8.444     7.289     4.739     3.538     2.579     8.240     5.253     6.245
     3.413     1.164     1.118     1.754     0.783     1.545     0.892     0.801
     1.174     4.607     8.970     2.712
1924
     1.616     2.630     4.712     9.000     3.420     1.542     1.026     2.692
     4.741     4.244     2.025     1.316     4.195     3.553    17.767    15.550
    15.200    12.910    16.990    19.900     4.571     3.756     5.318     5.355
     1.631     0.626     4.135    24.016     2.646     6.256     7.797     5.152
     2.856     2.475     2.200     2.199
1925
     4.602     3.010     3.276     3.435     2.604     2.035     4.646     5.016
     3.182     5.788    10.521     5.468     5.240     3.490     6.842     7.142
     4.436     4.751     5.880     3.640     2.554     2.886     2.836    34.705
    25.350    12.024     3.387    14.680     7.916    23.000    14.369     6.330
     2.914     1.934     2.935     3.686
1926
     2.157     2.662     1.941     1.270     1.144     9.125    13.763     3.258
     2.417     2.788     3.337    17.136     8.155    26.190    15.245    15.140
    19.080    17.550    14.510    19.140    14.691    26.980    26.070    21.445
     5.241     3.190     4.727    28.600     4.425     9.109     3.602     2.386
     2.674     2.708     5.965    44.918
1927
    12.541     4.024     3.025     4.230    15.450     5.955    14.690    23.520
     8.910     3.226     2.832     9.056    21.050    12.710    12.864    19.550
    26.360    13.509     3.855     2.698     1.686     3.648     4.117     3.095
     4.802    21.520     8.014     2.682     1.039     0.573     0.504     0.709
     0.860     0.901     0.771     0.685
1928
     0.731     1.508     4.699     1.137     0.675     0.908     0.765     0.957
     0.795     1.176     5.050     1.994     1.795     1.285     9.540     9.323
     4.034     2.634     1.877     4.834     4.554     5.868     1.636     0.908
     0.617     0.468     0.395     0.435     0.368     0.505     0.434     0.551
     1.852     3.760     1.050     0.691
